,ts_code,name,industry
325,000848.SZ,承德露露,软饮料
326,000850.SZ,华茂股份,纺织
327,000851.SZ,高鸿股份,通信设备
328,000852.SZ,石化机械,化工机械
329,000856.SZ,冀东装备,专用机械
330,000858.SZ,五粮液,白酒
331,000859.SZ,国风新材,塑料
332,000860.SZ,顺鑫农业,白酒
333,000861.SZ,海印股份,其他商业
334,000862.SZ,银星能源,新型电力
335,000863.SZ,三湘印象,区域地产
336,000868.SZ,安凯客车,汽车整车
337,000869.SZ,张裕A,红黄酒
338,000875.SZ,吉电股份,火力发电
339,000876.SZ,新希望,饲料
340,000877.SZ,天山股份,水泥
341,000878.SZ,云南铜业,铜
342,000880.SZ,潍柴重机,专用机械
343,000881.SZ,中广核技,综合类
344,000882.SZ,华联股份,其他商业
345,000883.SZ,湖北能源,火力发电
346,000885.SZ,城发环境,环境保护
347,000886.SZ,海南高速,区域地产
348,000887.SZ,中鼎股份,汽车配件
349,000888.SZ,峨眉山A,旅游景点
350,000889.SZ,ST中嘉,通信设备
351,000890.SZ,法尔胜,环境保护
352,000892.SZ,欢瑞世纪,影视音像
353,000893.SZ,亚钾国际,农药化肥
354,000895.SZ,双汇发展,食品
355,000897.SZ,津滨发展,区域地产
356,000898.SZ,鞍钢股份,普钢
357,000899.SZ,赣能股份,火力发电
358,000900.SZ,现代投资,路桥
359,000901.SZ,航天科技,汽车配件
360,000902.SZ,新洋丰,农药化肥
361,000903.SZ,云内动力,汽车配件
362,000905.SZ,厦门港务,港口
363,000906.SZ,浙商中拓,仓储物流
364,000908.SZ,景峰医药,化学制药
365,000909.SZ,ST数源,综合类
366,000910.SZ,大亚圣象,家居用品
367,000911.SZ,南宁糖业,食品
368,000912.SZ,泸天化,农药化肥
369,000913.SZ,钱江摩托,摩托车
370,000915.SZ,华特达因,化学制药
371,000917.SZ,电广传媒,影视音像
372,000919.SZ,金陵药业,化学制药
373,000920.SZ,沃顿科技,环境保护
374,000921.SZ,海信家电,家用电器
375,000922.SZ,佳电股份,电气设备
376,000923.SZ,河钢资源,普钢
377,000925.SZ,众合科技,运输设备
378,000926.SZ,福星股份,区域地产
379,000927.SZ,中国铁物,仓储物流
380,000928.SZ,中钢国际,建筑工程
381,000929.SZ,兰州黄河,啤酒
382,000930.SZ,中粮科技,农业综合
383,000931.SZ,中关村,化学制药
384,000932.SZ,华菱钢铁,普钢
385,000933.SZ,神火股份,铝
386,000935.SZ,四川双马,水泥
387,000936.SZ,华西股份,化纤
388,000937.SZ,冀中能源,煤炭开采
389,000938.SZ,紫光股份,软件服务
390,000948.SZ,南天信息,软件服务
391,000949.SZ,新乡化纤,化纤
392,000950.SZ,重药控股,医药商业
393,000951.SZ,中国重汽,汽车整车
394,000952.SZ,广济药业,化学制药
395,000953.SZ,河化股份,化学制药
396,000955.SZ,欣龙控股,纺织
397,000957.SZ,中通客车,汽车整车
398,000958.SZ,电投产融,多元金融
399,000959.SZ,首钢股份,普钢
400,000960.SZ,锡业股份,小金属
401,000961.SZ,中南建设,全国地产
402,000962.SZ,东方钽业,小金属
403,000963.SZ,华东医药,化学制药
404,000965.SZ,天保基建,区域地产
405,000966.SZ,长源电力,火力发电
406,000967.SZ,盈峰环境,环境保护
407,000968.SZ,蓝焰控股,石油开采
408,000969.SZ,安泰科技,小金属
409,000970.SZ,中科三环,矿物制品
410,000971.SZ,ST高升,互联网
411,000972.SZ,中基健康,食品
412,000973.SZ,佛塑科技,塑料
413,000975.SZ,银泰黄金,黄金
414,000976.SZ,ST华铁,运输设备
415,000977.SZ,浪潮信息,IT设备
416,000978.SZ,桂林旅游,旅游景点
417,000980.SZ,众泰汽车,汽车配件
418,000981.SZ,山子股份,汽车配件
419,000982.SZ,中银绒业,纺织
420,000983.SZ,山西焦煤,煤炭开采
421,000985.SZ,大庆华科,化工原料
422,000987.SZ,越秀资本,多元金融
423,000988.SZ,华工科技,专用机械
424,000989.SZ,九芝堂,中成药
425,000990.SZ,诚志股份,化工原料
426,000993.SZ,闽东电力,水力发电
427,000995.SZ,皇台酒业,白酒
428,000996.SZ,*ST中期,汽车服务
429,000997.SZ,新大陆,IT设备
430,000998.SZ,隆平高科,种植业
431,000999.SZ,华润三九,中成药
432,001201.SZ,东瑞股份,农业综合
433,001202.SZ,炬申股份,仓储物流
434,001203.SZ,大中矿业,普钢
435,001205.SZ,盛航股份,水运
436,001206.SZ,依依股份,造纸
437,001207.SZ,联科科技,化工原料
438,001208.SZ,华菱线缆,电气设备
439,001209.SZ,洪兴股份,服饰
440,001210.SZ,金房能源,供气供热
441,001211.SZ,双枪科技,家居用品
442,001212.SZ,中旗新材,其他建材
443,001213.SZ,中铁特货,仓储物流
444,001215.SZ,千味央厨,食品
445,001216.SZ,华瓷股份,家居用品
446,001217.SZ,华尔泰,化工原料
447,001218.SZ,丽臣实业,化工原料
448,001219.SZ,青岛食品,食品
449,001222.SZ,源飞宠物,文教休闲
450,001223.SZ,欧克科技,专用机械
451,001225.SZ,和泰机电,专用机械
452,001226.SZ,拓山重工,工程机械
453,001227.SZ,兰州银行,银行
454,001228.SZ,永泰运,仓储物流
455,001229.SZ,魅视科技,IT设备
456,001230.SZ,劲旅环境,环境保护
457,001231.SZ,农心科技,农药化肥
458,001234.SZ,泰慕士,服饰
459,001236.SZ,弘业期货,多元金融
460,001238.SZ,浙江正特,家居用品
461,001255.SZ,博菲电气,化工原料
